DEPTID|UFID|END_DATE|title|SAL_ADMIN_PLAN|uri|remove|hr_title|START_DATE
13100200|35198521|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|2000-01-01
32060300|31509944|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2008-07-23
19020000|60838059|NULL|Professor|FA09|||PROF|2005-12-19
19030000|32229370|NULL|Professor|FA09|||PROF|2001-08-10
29110000|82884620|NULL|Courtesy Professor|CTSY|||CO PROF|2006-06-01
32060300|58440000|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2010-01-27
32060300|12931321|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2009-05-11
16280100|62795380|NULL|Courtesy Professor|CTSY|||CO PROF|2013-07-01
60900000|59872850|NULL|Courtesy Professor|CTSY|||CO PROF|2004-06-18
32060300|24437410|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2006-03-22
13020100|95675670|NULL|Professor|FA09|||PROF|1983-08-05
30090000|58060195|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2005-11-18
33010000|12747550|NULL|Exec Associate Dean  and  Clinical Professor|FA12|||EXEC ASO DEAN & CLIN PROF|1996-01-16
29020100|11552202|NULL|Research Assistant Professor|FA12|||RES AST PROF|2010-04-15
32060300|25340900|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2007-07-11
60470000|17113616|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2012-12-21
60230000|07873880|NULL|Professor|FA12|||PROF|1985-06-11
57140100|84319440|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2005-10-14
32060300|19592850|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-11-15
60230000|20614830|NULL|Professor|FA12|||PROF|1981-01-02
60910000|88769270|NULL|Professor|FA12|||PROF|1986-07-01
29290100|36192195|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2012-12-21
60352012|71441970|NULL|Extension Agent II|FA12|||EXT AGENT II|2008-06-27
60351017|15467861|NULL|Extension Agent II|FA12|||EXT AGENT II|2003-12-12
18210000|38268301|NULL|Academic Support Services, Director 4|TA12|||ACADEMIC SUPP SVCS, DIR 4|2003-08-11
29290100|99921876|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2010-07-15
29060000|18616770|NULL|Professor|FA12|||PROF|1997-06-01
60460000|48804410|NULL|Research Programs/Services, Coordinator 2|TA12|||RESEARCH PROGS/SVCS, CRD 2|1997-12-12
33030000|52271020|NULL|Chair  and  Distinguished Professor|FA12|||CHAIR & DIS PROF|2000-07-01
29051900|97998569|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-07-01
29120000|64118391|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2010-09-13
19140000|97706890|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2005-08-16
32030000|46692960|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|2010-01-01
16860000|14692106|NULL|Senior Lecturer|FA09|||SR LECTURER|2005-08-16
29110000|79992610|NULL|Courtesy Professor|CTSY|||CO PROF|2000-01-01
19090000|95591361|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2013-08-17
60354052|11570581|NULL|Extension Agent IV|FA12|||EXT AGENT IV|1975-09-27
16122400|64615960|NULL|Courtesy Professor|CTSY|||CO PROF|1997-06-30
29340000|19029801|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2014-01-21
29050600|89096256|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2014-01-01
60140000|35138820|NULL|Professor|FA12|||PROF|2000-08-01
18300000|25498925|NULL|Research Programs/Services, Coordinator 2|TA12|||RESEARCH PROGS/SVCS, CRD 2|2013-08-28
28090000|94131210|NULL|Professor|FA12|||PROF|1997-07-31
29120000|71083268|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2012-08-17
19140000|86176556|NULL|Professor|FA09|||PROF|2003-08-08
17070100|98209791|NULL|Senior Lecturer|FA09|||SR LECTURER|2005-06-27
29130000|36758660|NULL|Courtesy Research Associate Professor|CTSY|||CO RES ASO PROF|1981-09-28
24010300|93390920|NULL|Professor|FA09|||PROF|1999-08-13
60353060|43558390|NULL|Extension Agent IV|FA12|||EXT AGENT IV|1998-04-22
29052001|29966689|NULL|Director  and  Professor|FA12|||DIR & PROF|2011-08-15
60230000|17400450|NULL|Program Director  and  Professor|FA12|||PRG DIR & PROF|1981-01-15
18180400|21091713|NULL|Assistant Professor/PK Yonge|FA10|||AST PROF/PKY|2005-08-09
29080000|72536040|NULL|Professor|FACM|||PROF|2004-06-18
28100000|44729020|NULL|Research Assistant Professor|FA12|||RES AST PROF|1998-11-10
60170000|49392100|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2004-06-18
24010300|57173761|NULL|Professor|FA09|||PROF|2005-08-16
65010000|66076190|NULL|Grants Specialist, Senior|US2E|||GRANTS SPECIALIST, SR|1992-09-11
30160000|71948017|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2009-07-06
32080500|94490925|NULL|Clinical Assistant Professor|OF12|||CLIN AST PROF|2004-05-07
30290200|31963533|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-01-11
30290000|61003461|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-07-22
11070000|09720760|NULL|Information Specialist, Senior|TU2E|||INFORMATION SPECIALIST, SR|2009-04-13
29040100|23359093|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-01-28
29120000|50900590|NULL|Information Specialist, Senior|TU2E|||INFORMATION SPECIALIST, SR|2010-07-06
29090100|26521030|NULL|Courtesy Professor|CTSY|||CO PROF|2004-06-18
29092500|13757196|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2008-07-01
30090000|18723094|NULL|Clinical Programs, Coordinator 4|TA12|||CLINICAL PROGRAMS, CRD 4|2014-06-23
29190000|90832910|NULL|Professor|FACM|||PROF|1992-07-06
57140100|68514890|NULL|Affiliate Assistant In|CTSY|||AFFL AST IN|2008-11-03
14800000|40431640|NULL|Production Control Analyst|TA12|||PRODUCTION CONTROL ANALYST|1978-10-23
29091300|60959975|NULL|Clinical Programs, Coordinator 4|TA12|||CLINICAL PROGRAMS, CRD 4|2007-07-16
29080000|41316100|NULL|Professor|FACM|||PROF|1977-08-01
55040200|61374640|NULL|Associate University Librarian|FA12|||ASO UNIV LIBRARIAN|2000-08-21
29200000|40964471|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2014-06-01
29160406|91481709|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2008-04-01
60353000|69366030|NULL|Distinguished Director  and  Professor|FA12|||DIST DIR & PROF|1998-10-20
29050800|09610374|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2013-10-02
03020000|43150290|NULL|Associate Director Admissions|TA12|||ASO DIR ADMISSIONS|2002-12-06
28090000|79306290|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2013-07-30
19060100|51919791|NULL|Courtesy Professor|CTSY|||CO PROF|2013-07-06
60355050|50410010|NULL|Extension Agent IV|FA12|||EXT AGENT IV|1988-01-01
55040200|45388015|NULL|Library Associate 1|TU2E|||LIBRARY ASSOCIATE 1|2006-07-28
29141900|13138138|NULL|Research Programs/Services, Coordinator 2|TA12|||RESEARCH PROGS/SVCS, CRD 2|2009-11-16
13100500|08103481|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|1997-08-08
32060000|64630131|NULL|Chemistist, Senior|TU2E|||CHEMIST, SR|2006-05-15
32060300|63432380|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-01-30
29180300|38694489|NULL|Courtesy Professor|CTSY|||CO PROF|2009-01-22
32060300|48448870|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2007-03-15
29051900|98709161|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2011-08-15
16600000|64330820|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2010-11-02
29060000|13555937|NULL|Professor|FA12|||PROF|2010-11-15
33060000|95596830|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2010-02-01
29070100|27480080|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2013-02-15
28090000|37112950|NULL|Affiliate Associate In|CTSY|||AFFL ASO IN|1987-06-15
13020100|98911820|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2013-01-01
32060300|82313421|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2010-02-24
32060300|91659451|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2007-01-25
60910000|97173830|NULL|Professor|FA12|||PROF|1991-08-09
34080200|42584250|NULL|Professor|FA12|||PROF|1978-06-26
32060300|92178680|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2008-12-02
29080000|72536040|NULL|Professor|FACM|||PROF|2000-07-01
32060300|35154074|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-05-09
32080500|67436901|NULL|Clinical Assistant Professor|OF12|||CLIN AST PROF|2004-05-07
16060000|42835610|NULL|Research Programs/Services, Coordinator 2|TA12|||RESEARCH PROGS/SVCS, CRD 2|2011-10-27
32060300|68461706|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2006-01-03
60460000|97016120|NULL|Courtesy Professor|CTSY|||CO PROF|2010-01-18
29051000|53793700|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2001-08-20
32060300|71518230|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2006-08-30
32060300|94216220|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2010-05-21
32060300|57717839|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-10-22
32060300|65654290|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2009-06-02
29050400|69232690|NULL|Courtesy Professor|CTSY|||CO PROF|2011-04-01
29040100|46179570|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2010-03-05
28050000|47411281|NULL|Courtesy Professor|CTSY|||CO PROF|1976-01-01
30070000|26482050|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2008-07-01
33030000|18064740|NULL|Research Programs/Services, Coordinator 2|TA12|||RESEARCH PROGS/SVCS, CRD 2|2013-01-18
60170000|88053750|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2004-06-18
32060000|48949162|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2012-08-15
29010814|79129050|NULL|Human Services Program Specialist, Senior|TU2E|||HUMAN SVCS PROGRAM SPEC, SR|1992-08-17
16280000|81841472|NULL|Courtesy Professor|CTSY|||CO PROF|2010-08-16
32060300|80026680|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-01-03
32060300|41082860|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2010-09-28
16860000|96667740|NULL|Senior Lecturer|FA09|||SR LECTURER|1988-08-12
29091700|56617785|NULL|Clinical Programs, Coordinator 4|TA12|||CLINICAL PROGRAMS, CRD 4|2014-04-01
32060300|11523315|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2009-05-15
29160401|98141250|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2004-04-07
29110000|70113581|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2008-06-03
29190000|43725650|NULL|Professor|FACM|||PROF|1995-07-01
60352038|90533020|NULL|County Extension Director  and  Extension Agent IV|FA12|||CTY EXT DIR & EXT AGENT IV|1977-09-30
29290100|15172985|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2010-05-15
29141600|05261680|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2011-07-01
32060000|09152160|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2002-01-18
33160000|20111261|NULL|Courtesy Professor|CTSY|||CO PROF|2010-07-01
29190000|39786980|NULL|Professor|FA12|||PROF|1976-06-19
32060300|58389226|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-09-18
30090000|69897507|NULL|Research Programs/Services, Coordinator 2|TA12|||RESEARCH PROGS/SVCS, CRD 2|2013-07-02
29141300|55511402|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-09-01
60090000|95513060|NULL|Professor|CTSY|||PROF|2004-06-18
60140000|77499200|NULL|Professor|CTSY|||PROF|2004-06-18
16120100|99313160|NULL|Courtesy Professor|CTSY|||CO PROF|2009-07-01
30140000|25415111|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2011-12-05
02010100|30299950|NULL|Director  and  Professor|FA12|||DIR & PROF|2000-08-11
23010000|51457850|NULL|Associate Dean  and  Professor|FA12|||ASO DEAN & PROF|1985-08-09
33030000|42726200|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2003-07-01
24010300|11265260|NULL|Professor|FA09|||PROF|1993-07-19
29110000|03770050|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2013-02-01
48000000|25110131|NULL|Business Services, Assistant Director 4|TA12|||BUSINESS SERVICES, AST DIR 4|2012-08-31
28100000|29468830|NULL|Research Programs/Services, Coordinator 2|TA12|||RESEARCH PROGS/SVCS, CRD 2|1993-06-01
29100000|20910350|NULL|Research Assistant Professor|FA12|||RES AST PROF|1990-01-08
60352001|36184580|NULL|Extension Agent IV|FA12|||EXT AGENT IV|2001-03-02
06010000|96318670|NULL|Student Financial Aid, Director 5|TA12|||STUDENT FINANCIAL AID, DIR 5|1983-11-15
33060000|90053580|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2011-06-27
30180000|81807409|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-09-02
32060300|36836691|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-12-19
17020100|80131111|NULL|Professor|FA09|||PROF|2011-08-16
55160100|70226230|NULL|Library Associate 3|TU2E|||LIBRARY ASSOCIATE 3|1999-11-29
32060300|70105486|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-11-05
29160402|41400220|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|1998-07-01
29080000|39780680|NULL|Professor|FACM|||PROF|2004-06-18
13100200|29744401|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|2000-01-01
18180600|67834120|NULL|Assistant Professor/PK Yonge|FA10|||AST PROF/PKY|2006-08-07
32060300|45119951|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-07-13
55080100|08170880|NULL|Library Associate 1|TU2E|||LIBRARY ASSOCIATE 1|2006-05-08
29120000|82399770|NULL|Assistant Program Director  and  Clinical Assistant Professor|FA12|||AST PRG DIR & CLIN AST PROF|1985-05-17
32060000|42846721|NULL|Associate Dean  and  Professor|FA12|||ASO DEAN & PROF|2004-06-18
29051900|15139981|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2008-11-05
60740000|56786380|NULL|Professor|FA12|||PROF|1986-10-01
32050000|57125850|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2004-06-18
29141100|92178961|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2007-10-01
18180400|91594915|NULL|Adjunct Inst/PK Yonge|OF09|||ADJ INST/PKY|2012-08-09
32060300|62993485|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2005-11-22
60170000|68963170|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2004-06-18
32060300|18877349|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2005-08-04
29320000|59603895|NULL|Director  and  Professor|FA12|||DIR & PROF|2013-02-18
60210000|36888580|NULL|Professor|CTSY|||PROF|2004-06-18
32060300|73049532|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2008-09-23
19020000|18555490|NULL|Professor|FA09|||PROF|1989-08-11
13100300|21289742|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|2000-01-01
29140000|53135550|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2014-05-01
29051400|26143360|NULL|Adjunct Research Associate Professor|OF12|||ADJ RES ASO PROF|2011-10-14
16900000|35636371|NULL|Courtesy Professor|CTSY|||CO PROF|2000-01-01
32060300|24932166|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-09-29
60140000|54294290|NULL|Professor|CTSY|||PROF|2004-06-18
30290000|51464330|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|1997-07-01
32060300|39968855|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2007-02-15
34030000|91308915|NULL|Research Assistant Professor|FA12|||RES AST PROF|2003-08-01
30180000|10043561|NULL|Assistant Program Director  and  Clinical Assistant Professor|FACM|||AST PRG DIR & CLIN AST PROF|2005-07-15
17080100|17373460|NULL|Chair  and  Distinguished Professor|FA09|||CHAIR & DIS PROF|1981-08-07
16340100|43389180|NULL|Affiliate Scholar|CTSY|||AFFL SCHOLAR|2011-08-16
29051900|81918064|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-10-01
16220100|62173298|NULL|Professor|FA09|||PROF|2014-08-16
19050000|13218305|NULL|Professor|FA09|||PROF|2014-08-16
16340000|42709580|NULL|Professor|FA09|||PROF|1974-09-16
30090000|46868030|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2007-07-01
29090000|18871080|NULL|Courtesy Associate In|CTSY|||CO ASO IN|2009-02-06
30190000|87411969|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-09-09
32060300|50075943|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-08-16
29040200|62106150|NULL|Professor|FACM|||PROF|2004-06-18
29051900|14193964|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-07-01
60730000|37938601|NULL|Courtesy Professor|CTSY|||CO PROF|2000-01-01
30170000|36913680|NULL|Acting Chair  and  Clinical Assistant Professor|FACM|||ACT CHAIR & CLIN AST PROF|2005-09-01
60060000|74581630|NULL|Professor|FA12|||PROF|1980-07-21
55070100|86334800|NULL|Associate University Librarian|FA12|||ASO UNIV LIBRARIAN|1997-01-17
16900000|66633770|NULL|Professor|FA09|||PROF|1989-08-11
32060300|48376690|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-08-22
29240000|05834641|NULL|Courtesy Professor|CTSY|||CO PROF|2009-11-01
28090000|24528400|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2012-03-01
60352016|43961540|NULL|Extension Agent IV|FA12|||EXT AGENT IV|1999-10-29
32060000|31260140|NULL|Director  and  Clinical Assistant Professor|FA12|||DIR & CLIN AST PROF|2014-03-10
04030100|48005310|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|1993-08-27
16320000|47991990|NULL|Professor|FA09|||PROF|2005-08-16
30160000|39650149|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2013-04-15
29090400|41838190|NULL|Clinical Programs, Coordinator 4|TA12|||CLINICAL PROGRAMS, CRD 4|2007-06-11
29051000|25208280|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2005-07-01
17060100|55440500|NULL|Professor|FA09|||PROF|1990-08-10
29240000|63522942|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2007-02-26
55050100|09109260|NULL|Library Associate 1|TU2E|||LIBRARY ASSOCIATE 1|2003-06-23
29350000|99917662|NULL|Clinical Programs, Coordinator 4|TA12|||CLINICAL PROGRAMS, CRD 4|2013-12-02
29130000|08348570|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2012-12-21
31020100|43612070|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|1983-08-22
29051900|98178993|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2014-06-23
32060300|44589400|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-09-24
16400100|95574720|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-08-15
29092900|51399346|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2014-06-04
56021000|28843921|NULL|Courtesy Associate Curator|CTSY|||CO ASO CURATOR|2009-06-02
56020000|42656461|NULL|Assistant Director  and  Associate Curator|FA12|||AST DIR & ASO CURATOR|2004-01-05
16320000|00297610|NULL|Professor|FA09|||PROF|1989-08-11
29160402|20541470|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2010-01-08
63300100|24093977|NULL|Physical Plant, Director 5|TA12|||PHYSICAL PLANT, DIRECTOR 5|2004-05-17
32060300|46369521|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-10-26
60820000|15611210|NULL|Professor|FA12|||PROF|1995-05-01
04030100|56995961|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2011-07-01
30090000|12409190|NULL|Clinical Programs, Coordinator 4|TA12|||CLINICAL PROGRAMS, CRD 4|2014-03-31
32060300|26255380|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2007-07-11
60410000|91633870|NULL|Computer Systems Programmer Manager|TU2E|||COMPUTER SYSTEMS PROG MGR|1991-10-25
31030100|90279917|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2009-01-05
16380000|00557790|NULL|Professor|FA09|||PROF|2001-08-10
32020000|51446602|NULL|Courtesy Professor|CTSY|||CO PROF|2009-07-27
13100500|05839681|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|2000-01-01
60351017|53130430|NULL|Extension Agent II|FA12|||EXT AGENT II|1990-07-01
29710100|55319910|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2006-09-01
29050900|01362946|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2012-07-01
32060300|19593315|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-11-17
29110000|15189584|NULL|Research Assistant Professor|FA12|||RES AST PROF|2003-09-25
16920000|55007500|NULL|Professor|FA09|||PROF|1997-08-22
60140000|49373440|NULL|Courtesy Professor|CTSY|||CO PROF|2006-02-16
60790000|17020921|NULL|Associate Scientist|FA12|||ASO SCTST|1989-03-27
24010300|36794400|NULL|Professor|FA09|||PROF|1986-08-08
32060300|61337909|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2005-11-23
29260100|54807120|NULL|Professor|FA12|||PROF|2000-02-01
18180500|96793663|NULL|Adjunct Inst/PK Yonge|OF09|||ADJ INST/PKY|2014-08-07
24010300|44905200|NULL|Professor|FA09|||PROF|1990-12-28
60210000|61617858|NULL|Courtesy Professor|CTSY|||CO PROF|2005-02-28
11010000|39054961|NULL|Professor|FA12|||PROF|2004-03-15
32060300|31260140|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2005-12-05
29050400|96333219|NULL|Research Assistant Professor|FA12|||RES AST PROF|2010-01-01
29060000|31011578|NULL|Professor|FA12|||PROF|2003-05-09
24010300|85778420|NULL|Professor|FA09|||PROF|1990-07-01
24010300|68750440|NULL|Professor|FA09|||PROF|1977-09-10
29050601|90151220|NULL|Research Assistant Professor|FA12|||RES AST PROF|2006-09-01
32060300|71295986|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2012-05-04
16380000|07280400|NULL|Professor|FA09|||PROF|1985-08-09
60140000|16564381|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|1970-01-01
29310100|09156001|NULL|Program Director  and  Professor|FACM|||PRG DIR & PROF|2012-12-21
33010000|52315410|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|1997-10-03
16200000|68781950|NULL|Professor|FA09|||PROF|1993-08-13
29130000|74558670|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2008-06-28
29091800|71162332|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2014-07-28
32060300|75389310|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2003-06-27
32060300|64163995|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2008-09-24
29090000|06091162|NULL|Courtesy Associate Professor|CTSY|||CO ASO PROF|2009-09-15
16600000|18630270|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2004-06-18
29340000|19029801|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2014-01-21
60320000|93310290|NULL|Professor|FA12|||PROF|2000-08-15
29170000|75335115|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2012-12-21
29040100|96913155|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2008-07-01
32060300|38715151|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2008-06-02
13100400|12437041|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|2000-01-01
29150000|39829403|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2014-07-01
15020000|30828841|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2012-03-22
28050000|39491692|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2010-04-02
60352016|47047830|NULL|Extension Agent II|FA12|||EXT AGENT II|2007-08-10
14800000|47487460|NULL|Application Developer Analyst 2|TA12|||APPLICATION DEVELOPER ANLST 2|1989-03-31
31020100|05033820|NULL|Clinical Assistant Professor|FA12|||CLIN AST PROF|2005-03-10
57140100|96716930|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2004-06-18
60353035|34513637|NULL|Extension Agent II|FA12|||EXT AGENT II|2005-04-08
28100000|15575270|NULL|Professor|FA12|||PROF|1993-11-01
20010000|89574470|NULL|Education/Training Programs, Assistant Director 2|TA12|||EDUC/TRAINING PROGS, AST DIR 2|2001-08-24
28050000|90905110|NULL|Research Assistant Professor|FA12|||RES AST PROF|2012-05-11
29092500|15729496|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2009-07-01
13100200|52298401|NULL|Courtesy Lecturer|CTSY|||CO LECTURER|1997-08-08
29040100|23997070|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2012-09-01
16600000|18169530|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2010-04-21
55070100|46094350|NULL|University Librarian|FA12|||UNIV LIBRARIAN|1985-07-23
13040100|70125340|NULL|Professor|FA09|||PROF|1994-08-12
16480000|52466440|NULL|Courtesy Professor|CTSY|||CO PROF|2006-08-16
32060300|73869350|NULL|Affiliate Clinical Assistant Professor|CTSY|||AFFL CLIN AST PROF|2011-08-25
30160000|75714330|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2004-06-18
16400000|51457850|NULL|Affiliate Associate Professor|CTSY|||AFFL ASO PROF|2004-06-18
29091300|10142740|NULL|Clinical Programs, Coordinator 4|TA12|||CLINICAL PROGRAMS, CRD 4|2007-02-07
19050000|27344730|NULL|Professor|FA09|||PROF|1981-08-07
29070100|78438393|NULL|Clinical Assistant Professor|FACM|||CLIN AST PROF|2009-09-14
