uri	name	issn	eissn	
	Comptes Rendus Mecanique	1631-0721		
	Comptes Rendus Physique	1631-0705		
	Computational Biology and Chemistry	1476-9271	1476-928X	
	Computational Geometry-Theory and Applications	0925-7721		
	Computational Intelligence and Neuroscience	1687-5265		
	Computational Materials Science	0927-0256		
	Computational Mechanics	0178-7675	1432-0924	
	Computational Optimization and Applications	0926-6003	1573-2894	
	Computational Statistics	0943-4062	1613-9658	
	Computational Statistics and Data Analysis	0167-9473	1872-7352	
	Computational and Mathematical Methods in Medicine	1748-670X	1748-6718	
	Computational and Mathematical Organization Theory	1381-298X	1572-9346	
	Computational and Theoretical Chemistry	2210-271X	2210-2728	
	Computer	0018-9162	1558-0814	
	Computer Aided Geometric Design	0167-8396		
	Computer Assisted Language Learning	0958-8221		
	Computer Communications	0140-3664	1873-703X	
	Computer Graphics Forum	0167-7055	1467-8659	
	Computer Methods and Programs in Biomedicine	0169-2607	1872-7565	
	Computer Methods in Applied Mechanics and Engineering	0045-7825		
	Computer Methods in Biomechanics and Biomedical Engineering	1025-5842	1476-8259	
	Computer Networks	1389-1286	1872-7069	
	Computer Physics Communications	Oct-55	1879-2944	
	Computer Science and Information Systems	1820-0214		
	Computer Vision and Image Understanding	1077-3142	1090-235X	
	Computer-Aided Civil and Infrastructure Engineering	1093-9687	1467-8667	
	Computer-Aided Design	Oct-85	1879-2685	
	Computers and Chemical Engineering	0098-1354	1873-4375	
	Computers and Education	0360-1315	1873-782X	
	Computers and Electrical Engineering	0045-7906	1879-0755	
	Computers and Electronics in Agriculture	0168-1699	1872-7107	
	Computers and Fluids	0045-7930	1879-0747	
	Computers and Geosciences	0098-3004	1873-7803	
	Computers and Geotechnics	0266-352X	1873-7633	
	Computers and Graphics-Uk	0097-8493	1873-7684	
	Computers and Mathematics With Applications	0898-1221	1873-7668	
	Computers and Operations Research	0305-0548	1873-765X	
	Computers and Security	0167-4048	1872-6208	
	Computers and Structures	0045-7949	1879-2243	
	Computers in Human Behavior	0747-5632	1873-7692	
	Computers in Industry	0166-3615		
	Computers in Nursing	0736-8593		
	Computing	0010-485X	1436-5057	
	Computing in Science and Engineering	1521-9615	1558-366X	
	Concurrency and Computation-Practice and Experience	1532-0626		
	Configurations	1063-1801	1080-6520	
	Conflict Management and Peace Science	0738-8942	1549-9219	
	Confluencia-Revista Hispanica De Cultura Y Literatura	0888-6091		
	Congenital Heart Disease	1747-079X	1747-0803	
	Consciousness and Cognition	1053-8100	1090-2376	
	Conservation Biology	0888-8892	1523-1739	
	Conservation Genetics	1566-0621	1572-9737	
	Conservation Genetics Resources	1877-7252	1877-7260	
	Conservation Letters	1755-263X		
	Construction and Building Materials	0950-0618		
	Constructive Approximation	0176-4276		
	Contact Lens and Anterior Eye	1367-0484	1476-5411	
	Contaminant Hydrology	0169-7722	1873-6009	
	Contemporary Accounting Research	0823-9150	1911-3846	
	Contemporary Clinical Trials	1551-7144	1559-2030	
	Contemporary Economic Policy	1074-3529		
	Contemporary French and Francophone Studies	1740-9292		
	Contemporary Sociology-a Journal of Reviews	0094-3061		
	Continental Shelf Research	0278-4343	1873-6955	
	Contraception	Oct-24	1879-0518	
	Contributions To Mineralogy and Petrology	Oct-99	1432-0967	
	Contributions To Plasma Physics	0863-1042	1521-3986	
	Controlled Clinical Trials	0197-2456	1879-050X	
	Cooperation and Conflict	Oct-67	1460-3691	
	Copd-Journal of Chronic Obstructive Pulmonary Disease	1541-2555		
	Copeia	0045-8511	1938-5110	
	Coral Reefs	0722-4028	1432-0975	
	Cornea	0277-3740	1536-4798	
	Cornell Hospitality Quarterly	1938-9655	1938-9663	
	Cornell Law Review	Oct-47		
	Corporate Governance-An International Review	0964-8410		
	Corrosion Science	0010-938X	1879-0496	
	Cortex	Oct-52	1973-8102	
	Counseling Psychologist	0011-0000	1552-3861	
	Cr-the New Centennial Review	1532-687X		
	Cranio	0886-9634	2151-0903	
	Creativity Research Journal	1040-0419		
	Cretaceous Research	0195-6671		
	Crime Media Culture	1741-6590	1741-6604	
	Crime and Delinquency	0011-1287	1552-387X	
	Criminal Behaviour and Mental Health	0957-9664	1471-2857	
	Criminal Justice and Behavior	0093-8548	1552-3594	
	Criminology	0011-1384	1745-9125	
	Criminology and Public Policy	1538-6473		
	Critical Care	1466-609X		
	Critical Care	1364-8535	1466-609X	
	Critical Care Clinics	0749-0704	1557-8232	
	Critical Care Medicine	0090-3493	1530-0293	
	Critical Care Nurse	0279-5442	1940-8250	
	Critical Care Nursing Clinics of North America	0899-5885	1558-3481	
	Critical Public Health	0958-1596		
	Critical Review	0891-3811	1933-8007	
	Critical Reviews in Biochemistry and Molecular Biology	1040-9238	1549-7798	
	Critical Reviews in Biotechnology	0738-8551	1549-7801	
	Critical Reviews in Environmental Science and Technology	1064-3389	1547-6537	
	Critical Reviews in Food Science and Nutrition	1040-8398	1549-7852	
	Critical Reviews in Microbiology	1040-841X	1549-7828	
	Critical Reviews in Oncology Hematology	1040-8428	1879-0461	
	Critical Reviews in Oral Biology and Medicine	1045-4411	1544-1113	
	Critical Reviews in Plant Sciences	0735-2689	1549-7836	
	Critical Reviews in Solid State and Materials Sciences	1040-8436	1547-6561	
	Critical Reviews in Toxicology	1040-8444	1547-6898	
	Criticism-a Quarterly for Literature and the Arts	0011-1589		
	Crop Protection	0261-2194	1873-6904	
	Crop Science	0011-183X	1435-0653	
	Crop and Pasture Science	1836-0947	1836-5795	
	Cryogenics	Nov-75	1879-2235	
	Cryoletters	0143-2044	1742-0644	
	Crystal Growth and Design	1528-7483	1528-7505	
	Crystengcomm	1466-8033		
	Cultural Anthropology	0886-7356		
	Cultural Critique	0882-4371	1460-2458	
	Cultural Diversity and Ethnic Minority Psychology	1099-9809	1939-0106	
	Culture Health and Sexuality	1369-1058	1464-5351	
	Culture Medicine and Psychiatry	0165-005X	1573-076X	
	Current Alzheimer research	1567-2050	1875-5828	
	Current Anthropology	Nov-04	1537-5382	
	Current Applied Physics	1567-1739		
	Current Atherosclerosis Reports	1523-3804	1534-6242	
	Current Bioinformatics	1574-8936	2212-392X	
	Current Biology	0960-9822	1879-0445	
	Current Cancer Drug Targets	1568-0096	1873-5576	
	Current Cardiology Reports	1523-3782	1534-3170	
	Current Computer-Aided Drug Design	1573-4099		
	Current Diabetes Report	1534-4827	1539-0829	
	Current Directions in Psychological Science	0963-7214	1467-8721	
	Current Drug Delivery	1567-2018	1875-5704	
	Current Drug Targets	1389-4501	1873-5592	
	Current Eye Research	0271-3683	1460-2202	
	Current Gastroenterology Reports	1522-8037	1534-312X	
	Current Gene Therapy	1566-5232	1875-5631	
	Current Genetics	0172-8083	1432-0983	
	Current Genomics	1389-2029	1875-5488	
	Current Hematologic Malignancy Reports	1558-8211		
	Current History	Nov-30	1944-785X	
	Current Hiv Research	1570-162X	1873-4251	
	Current Hypertension Reports	1522-6417	1534-3111	
	Current Issues in Molecular Biology	1467-3037	1467-3045	
	Current Issues in Tourism	1368-3500	1747-7603	
	Current Medical Imaging Reviews	1573-4056	1875-6603	
	Current Medical Research and Opinion	0300-7995	1473-4877	
	Current Medicinal Chemistry	0929-8673	1875-533X	
	Current Microbiology	0343-8651	1432-0991	
	Current Molecular Medicine	1566-5240	1875-5666	
	Current Nanoscience	1573-4137	1875-6786	
	Current Neurology and Neuroscience reports	1528-4042	1534-6293	
	Current Neuropharmacology	1570-159X	1875-6190	
	Current Neurovascular Research	1567-2026	1875-5739	
	Current Oncology Reports	1523-3790	1534-6269	
	Current Opinion in Allergy and Clinical Immunology	1528-4050	1473-6322	
	Current Opinion in Anaesthesiology	0952-7907	1473-6500	
	Current Opinion in Biotechnology	0958-1669	1879-0429	
	Current Opinion in Cardiology	0268-4705	1531-7080	
	Current Opinion in Chemical Biology	1367-5931	1879-0402	
	Current Opinion in Clinical Nutrition and Metabolic Care	1363-1950	1473-6519	
	Current Opinion in Critical Care	1070-5295	1531-7072	
	Current Opinion in Endocrinology & Diabetes	1068-3097		
	Current Opinion in Endocrinology Diabetes and Obesity	1752-296X	1752-2978	
	Current Opinion in Environmental Sustainability	1877-3435	1877-3443	
	Current Opinion in Gastroenterology	0267-1379	1531-7056	
	Current Opinion in Genetics & Development	0959-437X	1879-0380	
	Current Opinion in Hematology	1065-6251	1531-7048	
	Current Opinion in Immunology	0952-7915	1879-0372	
	Current Opinion in Infectious Diseases	0951-7375	1473-6527	
	Current Opinion in Investigational Drugs	1472-4472	2040-3429	
	Current Opinion in Lipidology	0957-9672	1473-6535	
	Current Opinion in Microbiology	1369-5274	1879-0364	
	Current Opinion in Molecular Therapeutics	1464-8431	2040-3445	
	Current Opinion in Nephrology and Hypertension	1062-4821	1473-6543	
	Current Opinion in Neurobiology	0959-4388	1873-6882	
	Current Opinion in Neurology	1350-7540	1473-6551	
	Current Opinion in Obstetrics & Gynecology	1040-872X	1473-656X	
	Current Opinion in Ophthalmology	1040-8738	1531-7021	
	Current Opinion in Organ Transplantation	1087-2418	1531-7013	
	Current Opinion in Otolaryngology and Head and Neck Surgery	1068-9508	1531-6998	
	Current Opinion in Pediatrics	1040-8703	1531-698X	
	Current Opinion in Pharmacology	1471-4892	1471-4973	
	Current Opinion in Plant Biology	1369-5266	1879-0356	
	Current Opinion in Psychiatry	0951-7367		
	Current Opinion in Pulmonary Medicine	1070-5287	1531-6971	
	Current Opinion in Rheumatology	1040-8711	1531-6963	
	Current Opinion in Solid State and Materials Science	1359-0286		
	Current Opinion in Structural Biology	0959-440X		
	Current Opinion in Urology	0963-0643	1473-6586	
	Current Opinion in Virology	1879-6257	1879-6265	
	Current Organic Chemistry	1385-2728	1875-5348	
	Current Pain and Headache Reports	1531-3433	1534-3081	
	Current Pharmaceutical Biotechnology	1389-2010	1873-4316	
	Current Pharmaceutical Design	1381-6128	1873-4286	
	Current Problems in Pediatric and Adolescent Health Care	1538-5442	1538-3199	
	Current Protein & Peptide Science	1389-2037	1875-5550	
	Current Protocols in Pharmacology	1934-8282	1934-8290	
	Current Psychiatry Reports	1523-3812	1535-1645	
	Current Rheumatology Reports	1523-3774	1534-6307	
	Current Science	Nov-91		
	Current Sports Medicine Reports	1537-890X	1537-8918	
	Current Stem Cell Research & Therapy	1574-888X	2212-3946	
	Current Surgery	0149-7944		
	Current Topics in Cellular Regulation	0070-2137		
	Current Topics in Medicinal Chemistry	1568-0266	1873-4294	
	Current Topics in Microbiology and Immunology	0070-217X		
	Current Treatment Options in Cardiovascular Medicine	1092-8464	1534-3189	
	Current Treatment Options in Gastroenterology	1092-8472	1534-309X	
	Current Treatment Options in Neurology	1092-8480	1534-3138	
	Current Treatment Options in Oncology	1527-2729	1534-6277	
	Current Urology Reports	1527-2737		
	Current Vascular Pharmacology	1570-1611		
	Current Women's Health Reports	1534-5874	1539-0837	
	Current Zoology	1674-5507		
	Custos E Agronegocio On Line	1808-2882		
	Cutaneous and Ocular Toxicology	1556-9527	1556-9535	
	Cutis	Nov-62		
	Cyberpsychology & Behavior	1094-9313		
	Cyberpsychology Behavior and Social Networking	2152-2715	2152-2723	
	Cybium	0399-0974	2101-0315	
	Cytogenetic and Genome Research	1424-8581	1424-859X	
	Cytogenetics and Cell Genetics	0301-0171	1421-9816	
	Cytokine	1043-4666	1096-0023	
	Cytokine and Growth Factor Reviews	1359-6101	1879-0305	
	Cytometry	0196-4763	1097-0320	
	Cytometry - Part A	1552-4922	1552-4930	
	Cytometry Part B-Clinical Cytometry	1552-4949	1552-4957	
	Cytopathology	0956-5507	1365-2303	
	Cytoskeleton	1949-3584	1949-3592	
	Cytotechnology	0920-9069		
	Cytotherapy	1465-3249	1477-2566	
	Czech Journal of Animal Science	1212-1819		
	DNA Repair	1568-7864	1568-7856	
	DNA and Cell Biology	1044-5498	1557-7430	
	Dalton Transactions	1477-9226	1477-9234	
	Death Education	0145-7624		
	Decision Sciences	Nov-15	1540-5915	
	Decision Support Systems	0167-9236	1873-5797	
	Deep-Sea Research Part Ii-Topical Studies in Oceanography	0967-0645	1879-0100	
	Dementia and Geriatric Cognitive Disorders	1420-8008	1421-9824	
	Democratization	1351-0347	1743-890X	
	Demography	0070-3370	1533-7790	
	Dental Clinics of North America	Nov-32	1558-0512	
	Dental Materials	0109-5641	1879-0097	
	Dental Materials Journal	0287-4547	1881-1361	
	Dental Traumatology	1600-4469	1600-9657	
	Dentistry Today	8750-2186		
	Dentomaxillofacial Radiology	0250-832X	1476-542X	
	Denver University Law Review	0883-9409		
	Depression and Anxiety	1091-4269	1520-6394	
	Der Anaesthesist	Mar-17	1432-055X	
	Dermatologic Clinics	0733-8635	1558-0520	
	Dermatologic Surgery	1076-0512	1524-4725	
	Dermatology Online Journal	1087-2108		
	Desalination	Nov-64	1873-4464	
	Desalination and Water Treatment	1944-3994	1944-3986	
	Design Automation for Embedded Systems	0929-5585	1572-8080	
	Design Issues	0747-9360	1531-4790	
	Design Studies	0142-694X	1872-6909	
	Development	0950-1991	1477-9129	
	Development Genes and Evolution	0949-944X	1432-041X	
	Development Policy Review	0950-6764	1467-7679	
	Development and Change	0012-155X	1467-7660	
	Developmental Biology	0012-1606	1095-564X	
	Developmental Brain Research	0165-3806	1872-6755	
	Developmental Cell	1534-5807	1878-1551	
	Developmental Dynamics	1058-8388	1097-0177	
	Developmental Genetics	0192-253X	1520-6408	
	Developmental Medicine and Child Neurology	0012-1622	1469-8749	
	Developmental Neurobiology	1932-8451		
	Developmental Neuropsychology	8756-5641	1532-6942	
	Developmental Neuroscience	0378-5866	1421-9859	
	Developmental Psychobiology	0012-1630	1098-2302	
	Developmental Psychology	0012-1649	1939-0599	
	Developmental Science	1363-755X	1467-7687	
	Developmental and Comparative Immunology	0145-305X	1879-0089	
	Deviant Behavior	0163-9625	1521-0456	
	Diabetes	0012-1797	1939-327X	
	Diabetes Care	0149-5992	1935-5548	
	Diabetes Educator	0145-7217	1554-6063	
	Diabetes Research and Clinical Practice	0168-8227	1872-8227	
	Diabetes Technology & Therapeutics	1520-9156	1557-8593	
	Diabetes and Vascular Disease Research	1479-1641	1752-8984	
	"Diabetes	 Obesity & Metabolism"	1462-8902	1463-1326	
	Diabetes-Metabolism Research and Reviews	1520-7552	1520-7560	
	Diabetic Medicine	0742-3071		
	Diabetologia	0012-186X	1432-0428	
	Diachronica	0176-4225	1569-9714	
	Diagnostic Cytopathology	8755-1039	1097-0339	
	Diagnostic Microbiology and Infectious Disease	0732-8893		
	Diagnostic Pathology	1746-1596		
	Diagnostica	Dec-24		
	Diamond and Related Materials	0925-9635		
	Dickinson Journal of International Law	0887-283X		
	Die Naturwissenschaften	0028-1042	1432-1904	
	Die Pharmazie	0031-7144		
	Differentiation	0301-4681	1432-0436	
	Digest Journal of Nanomaterials and Biostructures	1842-3582		
	Digestive Diseases and Sciences	0163-2116	1573-2568	
	Digestive Endoscopy	0915-5635		
	Digestive Surgery	0253-4886	1421-9883	
	Digestive and Liver Disease	1590-8658	1878-3562	
	Digital Signal Processing	1051-2004	1095-4333	
	Dimensions of Critical Care Nursing	0730-4625	1538-8646	
	Diplomatic History	0145-2096		
	Disability and Health Journal	1936-6574	1876-7583	
	Disability and Rehabilitation	0963-8288	1464-5165	
	Disaster Medicine and Public Health Preparedness	1935-7893	1938-744X	
	Disaster Prevention and Management	0965-3562	1758-6100	
	Discourse Processes	0163-853X	1532-6950	
	Discourse and Communication	1750-4813		
	Discovery Medicine	1539-6509	1944-7930	
	Discrete Applied Mathematics	0166-218X	1872-6771	
	Discrete Mathematics	0012-365X	1872-681X	
	Discrete Mathematics and Theoretical Computer Science	1365-8050		
	Discrete Optimization	1572-5286	1873-636X	
	Discrete and Computational Geometry	0179-5376	1432-0444	
	Discrete and Continuous Dynamical Systems	1078-0947		
	Discrete and Continuous Dynamical Systems-Series B	1531-3492	1553-524X	
	Disease Models and Mechanisms	1754-8403	1754-8411	
	Diseases of Aquatic Organisms	0177-5103	1616-1580	
	Diseases of the Colon and Rectum	Dec-06	1530-0358	
	Diseases of the Esophagus	1120-8694	1442-2050	
	Displays	0141-9382	1872-7387	
	Dissent	Dec-46		
	Dissertationes Mathematicae	Dec-62	1730-6310	
	Diversity and Distributions	1366-9516	1472-4642	
	Documenta Ophthalmologica	Dec-86	1573-2622	
	Doklady Earth Sciences	1028-334X	1531-8354	
	Doklady Mathematics	1064-5624	1531-8362	
	Domestic Animal Endocrinology	0739-7240	1879-0054	
	Drug Design Development and Therapy	1177-8881		
	Drug Development Communications	0095-5183		
	Drug Development and Industrial Pharmacy	0363-9045		
	Drug Metabolism Reviews	0360-2532	1097-9883	
	Drug Metabolism and Disposition	0090-9556	1521-009X	
	Drug News & Perspectives	0214-0934	2013-0139	
	Drug Safety	0114-5916	1179-1942	
	Drug Testing and Analysis	1942-7603	1942-7611	
	Drug and Alcohol Dependence	0376-8716	1879-0046	
	Drug and Alcohol Review	0959-5236	1465-3362	
	Drugs	Dec-67	1179-1950	
	Drugs & Aging	1170-229X	1179-1969	
	Drugs in Randd	1174-5886	1179-6901	
	Drugs of Today	1699-3993	1699-4019	
	Drugs-Education Prevention and Policy	0968-7637	1465-3370	
	Dyna-Colombia	Dec-53		
	Dynamic Games and Applications	2153-0785		
	Dynamic Medicine	1476-5918		
	Dynamical Systems-An International Journal	1468-9367	1468-9375	
	Dysphagia	0179-051X	1432-0460	
	EHP Toxicogenomics	1542-4359	1542-4367	
	EMBO Molecular Medicine	1757-4676	1757-4684	
	EMBO Reports	1469-221X	1469-3178	
	Ear and Hearing	0196-0202	1538-4667	
	"Ear	 Nose and Throat Journal"	0145-5613	1942-7522	
	Early American Literature	Dec-63	1534-147X	
	Early Childhood Research Quarterly	0885-2006	1873-7706	
	Early Human Development	0378-3782	1872-6232	
	Early Modern Women-An Interdisciplinary Journal	1933-0065		
	Early Music	0306-1078	1741-7260	
	Early Science and Medicine	1383-7427		
	Earth Moon and Planets	0167-9295	1573-0794	
	Earth Planets and Space	1343-8832		
	Earth Surface Processes and Landforms	0197-9337		
	Earth and Planetary Science Letters	0012-821X	1385-013X	
	Earth-Science Reviews	Dec-52	1872-6828	
	East European Politics and Societies	0888-3254	1533-8371	
	Eating Behaviors	1471-0153	1873-7358	
	Eating Disorders	1064-0266	1532-530X	
	Eating and Weight Disorders	1124-4909	1590-1262	
	Echocardiography	0742-2822	1540-8175	
	EcoHealth	1612-9202	1612-9210	
	Ecography	0906-7590	1600-0587	
	Ecohydrology	1936-0584	1936-0592	
	Ecological Applications	1051-0761	1939-5582	
	Ecological Complexity	1476-945X	1476-9840	
	Ecological Economics	0921-8009	1873-6106	
	Ecological Engineering	0925-8574	1872-6992	
	Ecological Entomology	0307-6946	1365-2311	
	Ecological Indicators	1470-160X	1872-7034	
	Ecological Informatics	1574-9541		
	Ecological Modelling	0304-3800	1872-7026	
	Ecological Monographs	Dec-15	1557-7015	
	Ecological Research	0912-3814	1440-1703	
	Ecology	Dec-58	1939-9170	
	Ecology Letters	1461-023X	1461-0248	
	Ecology and Evolution	2045-7758		
	Ecology and Society	1708-3087		
	Ecology of Food and Nutrition	0367-0244	1543-5237	
	Ecology of Freshwater Fish	0906-6691	1600-0633	
	Econometric Reviews	0747-4938	1532-4168	
	Econometrics Journal	1368-4221	1368-423X	
	Economic Botany	0013-0001	1874-9364	
	Economic Geography	0013-0095	1944-8287	
	Economic Geology	0013-0109		
	Economic Geology	0361-0128		
	Economic Inquiry	0095-2583	1465-7295	
	Economic Modelling	0264-9993	1873-6122	
	Economica	0013-0427	1468-0335	
	Economics Letters	0165-1765	1873-7374	
	Economics and Human Biology	1570-677X	1873-6130	
	Economics of Education Review	0272-7757	1873-7382	
	Ecosphere	2150-8925		
	Ecosystems	1432-9840	1435-0629	
	Ecotoxicology	0963-9292	1573-3017	
	Ecotoxicology and Environmental Safety	0147-6513		
	Ecs Journal of Solid State Science and Technology	2162-8769		
	Ecs Solid State Letters	2162-8742		
	Education Finance and Policy	1557-3060	1557-3079	
	Education and Training in Autism and Developmental Disabilities	2154-1647		
	Education and Training in Developmental Disabilities	1547-0350		
	Education and Treatment of Children	0748-8491		
	Education and Urban Society	0013-1245	1552-3535	
	Education for Health	1357-6283	1469-5804	
	Educational Gerontology	0360-1277	1521-0472	
	Educational Leadership	0013-1784	1943-5878	
	Educational Philosophy and Theory	0013-1857	1469-5812	
	Educational Psychology Review	1040-726X	1573-336X	
	Educational Research Review	1747-938X		
	Educational Researcher	0013-189X	1935-102X	
	Educational and Psychological Measurement	0013-1644	1552-3888	
	Egitim Arastirmalari-Eurasian Journal of Educational Research	1302-597X		
	Eighteenth-Century Life	0098-2601	1086-3192	
	Eighteenth-Century Studies	0013-2586	1086-315X	
	Ejc Supplements	1359-6349		
	Electoral Studies	0261-3794	1873-6890	
	Electric Power Systems Research	0378-7796	1873-2046	
	Electroanalysis	1040-0397	1521-4109	
	Electrochemical and Solid State Letters	1099-0062	1944-8775	
	Electrochemistry Communications	1388-2481	1873-1902	
	Electrochimica Acta	0013-4686	1873-3859	
	Electronic Journal of Biotechnology	0717-3458		
	Electronic Journal of Combinatorics	1077-8926		
	Electronic Journal of Statistics	1935-7524		
	Electronic Library	0264-0473	1758-616X	
	Electronics Letters	0013-5194	1350-911X	
	Electrophoresis	0173-0835	1522-2683	
	Elektronika Ir Elektrotechnika	1392-1215		
	Elife	2050-084X		
	Emergency Medicine Clinics of North America	0733-8627	1558-0539	
	Emergency Medicine Journal	1472-0205		
	Emerging Infectious Diseases	1080-6040	1080-6059	
	Emerging Microbes and Infections	2222-1751		
	Emily Dickinson Journal	1059-6879		
	Emory Law Journal	0094-4076	2163-324X	
	Emotion	1528-3542	1931-1516	
	Emotion Review	1754-0739		
	Empirical Economics	0377-7332	1435-8921	
	Emu	0158-4197	1448-5540	
	Endangered Species Research	1863-5407		
	Endocrine	1355-008X	1559-0100	
	Endocrine Journal	0918-8959	1348-4540	
	Endocrine Practice	1530-891X	1934-2403	
	Endocrine Research	0743-5800	1532-4206	
	Endocrine Reviews	0163-769X	1945-7189	
	Endocrine-Related Cancer	1351-0088	1479-6821	
	Endocrinology	0013-7227	1945-7170	
	Endocrinology and Metabolism Clinics of North America	0889-8529	1558-4410	
	Endoscopy	0013-726X	1438-8812	
	Energies	1996-1073		
	Energy	0360-5442	1873-6785	
	Energy Conversion and Management	0196-8904	1879-2227	
	Energy Economics	0140-9883	1873-6181	
	Energy Efficiency	1570-646X		
	Energy Journal	0195-6574	1944-9089	
	Energy Policy	0301-4215	1873-6777	
	Energy and Buildings	0378-7788	1872-6178	
	Energy and Environmental Science	1754-5692	1754-5706	
	Energy and Fuels	0887-0624	1520-5029	
	Energy for Sustainable Development	0973-0826		
	Engenharia Agricola	0100-6916		
	Engenharia Agricola	1809-4430		
	Engenharia Sanitaria E Ambiental	1413-4152		
	Engineering Applications of Artificial Intelligence	0952-1976	1873-6769	
	Engineering Economist	0013-791X	1547-2701	
	Engineering Fracture Mechanics	0013-7944	1873-7315	
	Engineering Geology	0013-7952	1872-6917	
	Engineering Journal	0013-8029		
	Engineering Journal-American Institute of Steel Construction Inc	0013-8029		
	Engineering Optimization	0305-215X	1029-0273	
	Engineering Structures	0141-0296	1873-7323	
	Engineering in Medicine & Biology	0278-0054		
	English Language Notes	0013-8282		
	English Literature in Transition 1880-1920	0013-8339	1559-2715	
	English World-Wide	0172-8865	1569-9730	
	Ensenanza De Las Ciencias	0212-4521		
	Enterprise and Society	1467-2227	1467-2235	
	Entomologia Experimentalis Et Applicata	0013-8703	1570-7458	
	Entomologica Americana	1947-5136	1947-5144	
	Entomological Research	1738-2297		
	Entomological Science	1343-8786	1479-8298	
	Entrepreneurship Research Journal	2194-6175		
	Entropy	1099-4300		
	Environment International	0160-4120	1873-6750	
	Environment and Behavior	0013-9165	1552-390X	
	Environment and Planning B-Planning and Design	0265-8135	1472-3417	
	Environment and Planning a	0308-518X		
	Environmental Bioindicators	1555-5275	1555-5267	
	Environmental Biology of Fishes 	0378-1909	1573-5133	
	Environmental Chemistry	1448-2517		
	Environmental Communication-a Journal of Nature and Culture	1752-4032	1752-4040	
	Environmental Conservation	0376-8929	1469-4387	
	Environmental Earth Sciences	1866-6280	1866-6299	
	Environmental Education Research	1350-4622	1469-5871	
	Environmental Engineering 	1431-2492		
	Environmental Engineering Science	1092-8758	1557-9018	
	Environmental Entomology	0046-225X	1938-2936	
	Environmental Ethics	0163-4275	2153-7895	
	Environmental Fluid Mechanics	1567-7419	1573-1510	
	Environmental Forensics	1527-5922	1527-5930	
	Environmental Geochemistry and Health	0269-4042	1573-2983	
	Environmental Geology	0943-0105	1432-0495	
	Environmental Health	1476-069X		
	Environmental Health Perspectives	0091-6765	1552-9924	
	Environmental History	1084-5453	1930-8892	
	Environmental Impact Assessment Review	0195-9255	1873-6432	
	Environmental Management	0364-152X	1432-1009	
	Environmental Microbiology	1462-2912	1462-2920	
	Environmental Microbiology Reports	1758-2229		
	Environmental Modeling and Assessment	1420-2026	1573-2967	
	Environmental Modeling and Assessment	1420-2026	1573-2967	
	Environmental Modelling and Software	1364-8152	1873-6726	
	Environmental Monitoring and Assessment	0167-6369	1573-2959	
	Environmental Politics	0964-4016	1743-8934	
	Environmental Pollution	0269-7491	1873-6424	
	Environmental Progress and Sustainable Energy	1944-7442	1944-7450	
	Environmental Research	0013-9351	1096-0953	
	Environmental Research Letters	1748-9326		
	Environmental Science and Policy	1462-9011	1873-6416	
	Environmental Science and Pollution Research International	0944-1344	1614-7499	
	Environmental Science and Technology	0013-936X	1520-5851	
	Environmental Sciences	0915-955X	2076-3298	
	Environmental Technology	0959-3330	1479-487X	
	Environmental Technology Letters	0143-2060		
	Environmental Toxicology	1520-4081	1522-7278	
	Environmental Toxicology and Chemistry	0730-7268	1552-8618	
	Environmental Toxicology and Pharmacology	1382-6689	1872-7077	
	Environmental and Ecological Statistics	1352-8505	1573-3009	
	Environmental and Experimental Botany	0098-8472	1873-7307	
	Environmental and Molecular Mutagenesis	0893-6692	1098-2280	
	Environmetrics	1180-4009		
	Enzyme and Microbial Technology	0141-0229	1879-0909	
	Epidemics	1755-4365	1878-0067	
	Epidemiologic Reviews	0193-936X	1478-6729	
	Epidemiology	1044-3983	1531-5487	
	Epidemiology and Infection	0950-2688	1469-4409	
	Epidemiology and Psychiatric Sciences	2045-7960	2045-7979	
	Epigenetics	1559-2294	1559-2308	
	Epilepsia	0013-9580	1528-1167	
	Epilepsy Currents	1535-7597	1535-7511	
	Epilepsy Research	0920-1211	1872-6844	
	Epilepsy and Behavior	1525-5050	1525-5069	
	Epileptic Disorders	1294-9361	1950-6945	
	Epl	0295-5075	1286-4854	
	Equine Veterinary Education	0957-7734	2042-3292	
	Equine Veterinary Journal	0425-1644	2042-3306	
	Ergodic Theory and Dynamical Systems	0143-3857	1469-4417	
	Ernst Schering Research Foundation Workshop	0947-6075		
	Esaim-Mathematical Modelling and Numerical Analysis-Modelisation Mathematique Et Analyse Numerique	0764-583X		
	Essays in Biochemistry	0071-1365	1744-1358	
	Estonian Journal of Archaeology	1406-2933	1736-7484	
	Estuaries	0160-8347		
	Estuaries and Coasts	1559-2723	1559-2731	
	Estuarine Coastal and Shelf Science 	0272-7714	1096-0015	
	Ethics	0014-1704	1539-297X	
	Ethics and Behavior	1050-8422	1532-7019	
	Ethics and International Affairs	0892-6794		
	Ethnic and Racial Studies	0141-9870	1466-4356	
	Ethnicity & Disease	1049-510X	1945-0826	
	Ethnicity and Health	1355-7858	1465-3419	
	Ethnohistory	0014-1801	1527-5477	
	Ethnomusicology	0014-1836		
	Ethology	0179-1613	1439-0310	
	Etrandd-Educational Technology Research and Development	1042-1629		
	Etudes Litteraires	0014-214X		
	Eukaryotic Cell	1535-9778	1535-9786	
	Euphytica	0014-2336	1573-5060	
