DEPTID|END_DATE|UFID|SAL_ADMIN_PLAN|JOBCODE|HR_POSITION|uri|remove|current|JOBCODE_DESCRIPTION|START_DATE
60900000|NULL|70880310|GA12|538|1|||yes|GRADUATE RES AST|2014-08-16
60760000|NULL|26135781|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-06
29040100|NULL|41982882|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-23
56021200|NULL|97471320|TA12|1409|1|||yes|MUSEUM OPERATIONS, CRD 3|1984-01-23
60460000|NULL|94919421|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-16
29130000|NULL|89666579|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-05-14
29110000|NULL|26597001|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-06-03
95020000|NULL|61669900|CTSY|743|1|||yes|CO AST PROF|1995-02-01
29090100|NULL|91850440|TA12|1438|1|||yes|RESEARCH PROGS/SVCS, CRD 4|2009-08-14
60451000|NULL|58141681|TU2N|816|1|||yes|EXTENSION PROGRAM AST|2004-11-05
16660000|NULL|04862700|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-09-05
18050000|NULL|31151031|OF09|67|1|||yes|ADJ LECTURER|2014-01-01
52032000|NULL|69102349|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2006-12-01
18050000|NULL|17302671|OF09|67|1|||yes|ADJ LECTURER|2014-08-16
18180500|NULL|87162364|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-01-07
35020100|NULL|25311580|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2004-08-04
23100000|NULL|04466116|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2006-09-08
29050903|NULL|78435456|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-01-17
29240000|NULL|69007590|CTSY|737|1|||yes|CO ASO SCTST|2005-10-20
30150000|NULL|45164430|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-12-01
60230000|NULL|39628118|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-13
60910000|NULL|16819174|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-12-13
29091600|NULL|76128020|TU2N|908|1|||yes|PROGRAM AST|1990-08-03
19010100|NULL|69393169|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-09-28
16420000|NULL|51895564|GA09|537|1|||yes|GRADUATE TCH ASO|2011-08-29
18050000|NULL|49446500|OF09|67|1|||yes|ADJ LECTURER|2006-08-16
60850000|NULL|78958770|GA12|538|1|||yes|GRADUATE RES AST|2007-01-01
52010000|NULL|05132560|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-04-30
29040100|NULL|48800330|CTSY|743|1|||yes|CO AST PROF|2000-01-01
29130000|NULL|01401670|FACM|291|1|||yes|CHIEF & PROF|1976-07-01
52010000|NULL|37035870|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-07-13
26030100|NULL|91915362|TU2E|944|1|||yes|LABORATORY MGR|2012-06-01
16480000|NULL|43663206|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-09-27
60070000|NULL|42892880|TA12|1164|1|||yes|EDUC/TRAINING PROGS, CRD 1|2009-08-31
29050101|NULL|69629760|US2N|797|1|||yes|CLERK|1999-09-30
29010806|NULL|11391641|GA12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-03-19
29050400|NULL|88511242|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-05-01
60170000|NULL|62165150|CTSY|1502|1|||yes|AFFL RES AST PROF|2004-06-18
60190000|NULL|93732180|CTSY|743|1|||yes|CO AST PROF|2000-01-01
60470000|NULL|18635533|TU2N|805|1|||yes|SECRETARY, SR|2004-04-01
29050900|NULL|70722750|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-09-14
60770000|NULL|19909108|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-08-13
29092500|NULL|16941629|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-03-25
60790000|NULL|95081396|TU2E|944|1|||yes|LABORATORY MGR|2014-06-20
60330000|NULL|23755280|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-04-28
29141300|NULL|87489391|FACM|291|1|||yes|CHIEF & PROF|2012-08-03
15060000|NULL|69948300|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|1994-08-29
52010000|NULL|90478169|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-04-19
16900100|NULL|35114940|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-05-15
71010000|NULL|89400580|TU2N|1120|1|||yes|RADIATION CONTROL TECH|2008-09-24
29051700|NULL|26618346|TA12|1476|1|||yes|IT EXPERT|2008-11-17
67010000|NULL|68971215|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-11-16
63700100|NULL|57594410|TU2E|929|1|||yes|ENGINEERING TECH, SR|2000-11-13
18050000|NULL|84464498|TU2N|908|1|||yes|PROGRAM AST|2010-08-30
60140000|NULL|69599420|CTSY|743|1|||yes|CO AST PROF|1996-02-28
56022400|NULL|13851110|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-01-28
52010000|NULL|53133449|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2004-08-16
15060000|NULL|53484150|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-01-01
52010000|NULL|57303950|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2005-03-11
29010806|NULL|18181171|TU2N|998|1|||yes|HEALTH EDUCATOR|2014-05-12
34170402|NULL|89118416|CTSY|178|1|||yes|CO CLIN POSTDOC ASO|2014-07-01
03020000|NULL|94501900|TU2N|908|1|||yes|PROGRAM AST|2000-12-11
29050105|NULL|80684700|TU2N|1635|1|||yes|CODING REIMBURSE ANALYST 1|2000-02-28
27010704|NULL|14729560|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2001-08-15
16120100|NULL|33046559|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-09-06
29240000|NULL|62678450|CTSY|743|1|||yes|CO AST PROF|2009-02-04
04020000|NULL|99695435|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-08-17
18050000|NULL|49829444|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2012-04-27
03010000|NULL|64470520|TA12|1188|1|||yes|BUSINESS SERVICES, DIR 6|2002-09-20
33070000|NULL|13181196|FELL|396|1|||yes|PREDOC FELLOWSHIP|2010-08-16
06030000|NULL|17193773|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2010-01-25
60770000|NULL|39011675|TU2N|1053|1|||yes|MAINTENANCE SPECIALIST|2011-04-29
52010000|NULL|46856992|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2008-04-24
29080100|NULL|47603860|TU2N|908|1|||yes|PROGRAM AST|2004-07-30
16040100|NULL|78982900|CTSY|743|1|||yes|CO AST PROF|2006-06-26
30050000|NULL|21128932|FACM|768|1|||yes|ASO PRG DIR & CLIN AST PROF|2004-07-01
17080100|NULL|33729150|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2004-06-18
60460000|NULL|35345165|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-09
16200000|NULL|14158159|FELL|396|1|||yes|PREDOC FELLOWSHIP|2011-08-16
71010000|NULL|13810140|US2N|1120|1|||yes|RADIATION CONTROL TECH|1998-04-03
60210000|NULL|15300030|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2012-09-15
13030200|NULL|02314980|OPSE|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-10-14
29290100|NULL|93954831|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-07-01
32010000|NULL|12043880|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-12-18
60210000|NULL|58266079|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-08-16
27010701|NULL|25599189|TU2N|865|1|||yes|IT INTERMEDIATE|2011-07-11
60190000|NULL|24898030|CTSY|743|1|||yes|CO AST PROF|1998-07-01
68040000|NULL|80357070|TU2N|1107|1|||yes|CAMPUS PARKING PATROLLER|1980-09-15
28321000|NULL|51931563|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-05-04
60770000|NULL|10166313|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-23
17030100|NULL|39566680|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2005-05-20
60470000|NULL|67981883|CTSY|1502|1|||yes|AFFL RES AST PROF|2011-04-15
32010000|NULL|26075281|TA12|1246|1|||yes|INFO/PUB SVCS, AST DIR 4|2003-02-24
29092300|NULL|95586184|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-15
16660000|NULL|35735015|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-16
18300000|NULL|32811661|TU2N|820|1|||yes|OFFICE MGR|2007-11-28
19070000|NULL|72389790|OF09|67|1|||yes|ADJ LECTURER|2008-10-02
28050000|NULL|95135470|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2004-06-18
28090000|NULL|18998337|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-30
62010400|NULL|63859919|TU2N|829|1|||yes|HUMAN RESOURCE REP|2005-07-25
30090000|NULL|66680881|TA12|1334|1|||yes|CLINICAL PROGRAMS, CRD 2|2004-10-01
60460000|NULL|06440130|TU2N|937|1|||yes|LABORATORY TECH|2000-06-09
60872300|NULL|11200423|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-06-26
29050300|NULL|38869551|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2003-11-04
16980300|NULL|80249466|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-04-14
60190000|NULL|46369584|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-04-30
28090000|NULL|12988840|CTSY|743|1|||yes|CO AST PROF|2012-04-02
60355050|NULL|02425081|CTSY|1788|1|||yes|PROGRAM COUNTY EXT AGENT I|2009-02-02
60190000|NULL|49397439|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-05-11
36020000|NULL|21621118|CTSY|743|1|||yes|CO AST PROF|2007-05-01
15010000|NULL|06360100|TA12|1261|1|||yes|STUDENT AFFAIRS, , CRD 1|2014-08-22
28323000|NULL|80221989|TU2N|1568|1|||yes|VETERINARY TECH 2|2006-07-21
23010100|NULL|71925170|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-05-16
52010000|NULL|18873540|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2009-04-03
28011303|NULL|66616505|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-08-21
19020000|NULL|12514414|FELL|396|1|||yes|PREDOC FELLOWSHIP|2014-08-15
28334300|NULL|52230919|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-05-14
16200100|NULL|95988964|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-31
52010000|NULL|97445690|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-04-19
60760000|NULL|64262230|US2E|939|1|||yes|BIOLOGICAL SCIENTIST|1994-03-11
60440000|NULL|27606540|TA12|1327|1|||yes|EDUC MEDIA/COMMUNIC, CRD 3|2001-05-07
29050400|NULL|17199329|CTSY|743|1|||yes|CO AST PROF|2012-07-01
17060100|NULL|81951600|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2006-05-19
15060000|NULL|38944950|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|1998-07-15
19140000|NULL|93415780|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2005-03-25
52010000|NULL|30539992|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-10-28
31030000|NULL|21485094|CTSY|743|1|||yes|CO AST PROF|2007-11-08
62010300|NULL|96372590|TU2N|829|1|||yes|HUMAN RESOURCE REP|2006-09-05
29110000|NULL|02631049|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-01-26
18050000|NULL|99513513|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-08-06
33050000|NULL|19974729|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-12-05
32050000|NULL|09953019|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-08-24
16360100|NULL|03273559|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-07-12
28040000|NULL|35301440|TU2E|939|1|||yes|BIOLOGICAL SCIENTIST|2005-06-06
16382000|NULL|48182190|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2000-08-16
18050000|NULL|50449329|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-04-15
34060700|NULL|03462946|TU2N|908|1|||yes|PROGRAM AST|2009-05-29
30150000|NULL|50557090|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-04-06
29070603|NULL|55563346|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-24
32060501|NULL|52116186|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-04-21
34060500|NULL|18869751|TU2N|908|1|||yes|PROGRAM AST|2007-04-02
60740000|NULL|21637845|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-10-11
32030000|NULL|11195916|TU2N|908|1|||yes|PROGRAM AST|2006-01-04
28040000|NULL|16597521|CTSY|743|1|||yes|CO AST PROF|2011-02-07
63700200|NULL|58411981|TU2N|1045|1|||yes|ELECTRICIAN, SR|2013-08-09
48031000|NULL|11639681|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-01-03
57130307|NULL|73696141|TU2E|939|1|||yes|BIOLOGICAL SCIENTIST|2003-10-10
03030000|NULL|28943780|TA12|1476|1|||yes|IT EXPERT|1978-08-28
63620300|NULL|87170420|TU2N|1053|1|||yes|MAINTENANCE SPECIALIST|2000-06-23
60370000|NULL|53311355|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-01-24
29070500|NULL|63465921|FELL|396|1|||yes|PREDOC FELLOWSHIP|2014-07-04
34010603|NULL|11377220|US2N|820|1|||yes|OFFICE MGR|1989-04-03
63520300|NULL|16774917|TU2N|1033|1|||yes|GROUNDSKEEPER|2006-05-23
63700200|NULL|54107341|TU2N|1053|1|||yes|MAINTENANCE SPECIALIST|2004-09-02
63510200|NULL|34943400|TU2N|1053|1|||yes|MAINTENANCE SPECIALIST|1996-11-19
06030000|NULL|63015589|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2009-03-25
60460000|NULL|55844216|TU2N|937|1|||yes|LABORATORY TECH|2012-08-17
29260100|NULL|48648751|FELL|396|1|||yes|PREDOC FELLOWSHIP|2011-09-01
29020100|NULL|55131059|TU2N|908|1|||yes|PROGRAM AST|2011-09-26
60410000|NULL|91365931|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-09
60230000|NULL|73657921|TU2E|939|1|||yes|BIOLOGICAL SCIENTIST|2002-05-01
60230000|NULL|18253060|TU2E|944|1|||yes|LABORATORY MGR|2000-09-01
31030000|NULL|13799051|CTSY|743|1|||yes|CO AST PROF|2008-11-12
60470000|NULL|83823901|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-02-06
60230000|NULL|03738421|CTSY|743|1|||yes|CO AST PROF|2000-01-01
29091400|NULL|18288061|FACM|291|1|||yes|CHIEF & PROF|2003-05-01
30090000|NULL|53781188|TU2N|1700|1|||yes|CLINICAL SERVICE REP 2|2013-09-06
29150000|NULL|32941753|CTSY|743|1|||yes|CO AST PROF|2013-05-10
23120100|NULL|54842921|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-07-30
32060300|NULL|69184202|CTSY|141|1|||yes|AFFL LECTURER|2010-12-23
16309001|NULL|59012911|OF12|67|1|||yes|ADJ LECTURER|2011-09-09
28311200|NULL|39946117|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-04-12
07950100|NULL|95363790|STBW|1489|1|||yes|HS - ASST RESIDENCE ASSISTANT|2012-08-10
34060500|NULL|47701433|CTSY|178|1|||yes|CO CLIN POSTDOC ASO|2014-05-13
56021300|NULL|92168030|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-07-05
26010100|NULL|81005636|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-05-16
27030000|NULL|52979740|TU2N|908|1|||yes|PROGRAM AST|2003-07-28
47010000|NULL|91414788|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-04-11
29040100|NULL|82360179|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-03-15
32080500|NULL|85808160|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-01-31
68040000|NULL|19217158|TU2N|1108|1|||yes|CAMPUS PARKING PATROLLER, SR|2013-04-19
14330200|NULL|13089500|TA12|1756|1|||yes|INFORMATION TECHNOLOGY MGR|1990-04-06
06030000|NULL|69370532|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2014-05-20
19140000|NULL|84536630|OFSU|54|1|||yes|ADJ PROF|2004-11-19
29190000|NULL|21118899|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-03-08
19221300|NULL|61465099|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-05-06
32080200|NULL|23298834|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2012-08-29
28040000|NULL|69156720|CTSY|743|1|||yes|CO AST PROF|2011-08-19
60098000|NULL|14918525|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-08-28
29290100|NULL|50024660|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2004-07-01
60040000|NULL|99495575|TU2N|805|1|||yes|SECRETARY, SR|2010-01-22
60840000|NULL|61101243|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-02-17
19080100|NULL|33941471|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-02-17
14800000|NULL|37154420|TA12|1834|1|||yes|IT ANALYST 2|1973-09-10
68040000|NULL|93799961|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-11-19
11010000|NULL|03119913|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-05-20
33050000|NULL|35043888|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-19
60910000|NULL|77026780|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2001-02-16
60850000|NULL|76191199|CTSY|743|1|||yes|CO AST PROF|2009-04-17
52010000|NULL|18738590|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-08-30
29080100|NULL|59351415|TU2N|938|1|||yes|LABORATORY TECH, SR|2010-11-29
30290000|NULL|37557950|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2008-07-01
17010100|NULL|91648190|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2010-04-16
34060500|NULL|49410317|CTSY|178|1|||yes|CO CLIN POSTDOC ASO|2013-05-13
60080000|NULL|69879730|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
28311001|NULL|36998429|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2009-01-09
18180300|NULL|39721844|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2005-02-11
60354029|NULL|81645338|CTSY|1788|1|||yes|PROGRAM COUNTY EXT AGENT I|2003-09-12
29010814|NULL|09430172|CTSY|743|1|||yes|CO AST PROF|2014-04-01
06030000|NULL|17504151|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2012-04-12
60140000|NULL|81896398|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2011-06-27
60733000|NULL|64610701|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2002-03-25
28340000|NULL|51117129|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-09-14
60460000|NULL|71817290|CTSY|743|1|||yes|CO AST PROF|2000-01-01
36020000|NULL|03078181|CTSY|743|1|||yes|CO AST PROF|2007-05-15
60180000|NULL|99199080|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2005-09-01
29051400|NULL|83557740|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2012-03-30
29050600|NULL|69895013|FACM|291|1|||yes|CHIEF & PROF|2007-04-09
52010000|NULL|15165110|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2010-10-01
52020200|NULL|15719475|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2012-07-20
16200100|NULL|10129221|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-08-16
33060000|NULL|72005110|US2N|908|1|||yes|PROGRAM AST|2001-09-04
57130100|NULL|51935721|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-08-01
11010000|NULL|39978890|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-05-13
16040100|NULL|94353945|GA09|537|1|||yes|GRADUATE TCH ASO|2011-01-01
32080400|NULL|19435695|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-10-10
16980300|NULL|99849855|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2006-03-24
07900100|NULL|92643940|TA12|1393|1|||yes|UNIV HOUSING, AST DIR 3|2003-08-01
62010700|NULL|64650970|TA12|1404|1|||yes|INFO/PUBLICATIONS SVCS, CRD 4|2001-08-20
60410000|NULL|18823482|TA12|1476|1|||yes|IT EXPERT|2004-01-23
63620300|NULL|25013901|TU2N|1038|1|||yes|LOCKSMITH|2013-12-02
11060200|NULL|14784001|TA12|1438|1|||yes|RESEARCH PROGS/SVCS, CRD 4|2014-01-01
30050000|NULL|91188621|CTSY|182|1|||yes|CO CLIN PROF|2007-09-01
17080100|NULL|32988962|GA12|538|1|||yes|GRADUATE RES AST|2011-08-16
16400100|NULL|11741929|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
60900000|NULL|26291350|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|1986-08-18
16360100|NULL|46112680|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
60098000|NULL|03627080|TU2N|937|1|||yes|LABORATORY TECH|2000-08-09
28321000|NULL|21334393|TU2N|1568|1|||yes|VETERINARY TECH 2|2009-08-14
60460000|NULL|56236600|TA12|1438|1|||yes|RESEARCH PROGS/SVCS, CRD 4|2012-01-25
60190000|NULL|04400990|US2N|820|1|||yes|OFFICE MGR|1984-07-09
28040000|NULL|19397261|CTSY|743|1|||yes|CO AST PROF|2011-03-28
52010000|NULL|50231990|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-03-28
60733000|NULL|53276400|TU2N|938|1|||yes|LABORATORY TECH, SR|1985-08-05
12020100|NULL|84531593|FELL|396|1|||yes|PREDOC FELLOWSHIP|2014-08-16
11010000|NULL|44818931|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2014-05-14
18080000|NULL|02255480|US2N|805|1|||yes|SECRETARY, SR|1998-03-20
55020400|NULL|04884996|TU2N|1593|1|||yes|LIBRARY ASSISTANT 3|2013-08-09
32060000|NULL|19895960|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2003-01-21
48031000|NULL|75596925|TA12|1782|1|||yes|LIBRARY DEV & SVCS, CRD 3|2013-01-04
32010000|NULL|03048100|TA12|1431|1|||yes|STUDENT AFFAIRS, CRD 3|1987-12-14
29051700|NULL|11819935|CTSY|743|1|||yes|CO AST PROF|2010-09-17
17220300|NULL|88250567|TA12|1261|1|||yes|STUDENT AFFAIRS, , CRD 1|2007-12-14
16320000|NULL|78131459|FELL|396|1|||yes|PREDOC FELLOWSHIP|2009-08-16
67010000|NULL|37626993|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-10-22
29290100|NULL|11185136|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-09-14
06030000|NULL|49419224|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2012-10-03
60872000|NULL|95789791|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2007-08-20
18210000|NULL|01218457|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2011-12-07
29110000|NULL|15918647|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2013-06-03
60080000|NULL|41668520|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2005-08-26
13500000|NULL|55941157|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2006-12-22
16900000|NULL|23358187|FELL|396|1|||yes|PREDOC FELLOWSHIP|2013-11-22
16520000|NULL|21811771|TA12|1476|1|||yes|IT EXPERT|2010-08-02
60100000|NULL|95718571|TU2E|939|1|||yes|BIOLOGICAL SCIENTIST|2009-03-06
16300100|NULL|65958352|FELL|396|1|||yes|PREDOC FELLOWSHIP|2012-08-16
60140000|NULL|15406163|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-01-06
04040000|NULL|83817270|OPSN|1479|1|||yes|OPS HOURLY NON-SECRETARY/CLERK|2014-05-05
29051300|NULL|18873540|FACM|291|1|||yes|CHIEF & PROF|1999-07-01
48032000|NULL|92770540|TA12|1782|1|||yes|LIBRARY DEV & SVCS, CRD 3|1985-02-01
12020100|NULL|59015885|FELL|396|1|||yes|PREDOC FELLOWSHIP|2010-08-16
71010000|NULL|49431620|TU2N|908|1|||yes|PROGRAM AST|1988-09-12
19140000|NULL|97443155|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2006-06-23
18050000|NULL|81615919|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2012-07-06
35010700|NULL|35974250|OF12|1573|1|||yes|ACADEMIC LUMP SUM PAYMENT|2013-02-01
27010717|NULL|23836319|TA12|1476|1|||yes|IT EXPERT|2006-07-03
06030000|NULL|14990968|FWSP|1484|1|||yes|STU AST - FEDERAL COMM SERVICE|2013-10-25
60754300|NULL|01571171|TU2N|1101|1|||yes|AGRICULTURAL AST, SR|2008-09-19
35010203|NULL|68020950|US2N|1066|1|||yes|CUSTODIAL SPV|1986-08-25
60352021|NULL|62437520|FA12|434|1|||yes|EXT AGENT III|1999-07-09
